timestamp,plate,confidence,processing_time
2026-05-04 12:59:15,TN01BV3931,0.904,20.67
2026-05-04 13:02:34,TN01BV4366,0.854,25.25
2026-05-04 13:08:25,TH018V3760,0.867,23.2
2026-05-04 13:08:27,TN01BV3760,0.918,31.33
2026-05-04 13:09:18,TN01B4396,0.935,25.58
2026-05-04 13:09:20,TN01BY4396,0.938,30.55
2026-05-04 13:09:23,TN01BV4396,0.966,33.39
2026-05-04 13:12:20,TN01BV6296,0.889,25.92
2026-05-04 13:13:14,TN01BY4302,0.899,26.29
2026-05-04 13:13:18,TN01BV4302,0.882,28.22
2026-05-04 13:13:38,TH01BN9285,0.756,21.04
2026-05-04 13:13:40,TN01BH9285,0.775,25.51
2026-05-04 13:13:42,TN018N9285,0.744,45.78
2026-05-04 13:13:44,TN01BN9285,0.748,44.85
2026-05-04 13:13:47,TM01BW9285,0.739,49.36
2026-05-04 13:17:24,TN01BW9285,0.81,28.19
2026-05-04 13:17:57,TN018Y3998,0.885,21.0
2026-05-04 13:17:59,TN01BV3998,0.93,25.52
2026-05-04 13:18:06,TN01BV6203,0.827,27.95
2026-05-04 13:18:08,TH01BV6203,0.851,32.17
2026-05-04 13:19:05,TN01BV3769,0.943,25.32
2026-05-04 13:19:57,TN01BY3926,0.972,50.89
2026-05-04 13:22:21,TN01BV3973,0.959,29.12
2026-05-04 13:26:10,TN01BV3767,0.916,36.56
2026-05-04 13:26:12,TH01BV3767,0.983,23.9
2026-05-04 13:26:24,TN01BY3946,0.935,46.23
2026-05-04 13:27:34,N01B13946,0.944,39.86
2026-05-04 13:27:36,TN01B13946,0.899,45.11
2026-05-04 13:27:57,TN0V390,0.936,28.38
2026-05-04 13:28:03,TN01BV3904,0.925,56.4
2026-05-04 13:28:03,TN018V6293,0.724,51.79
2026-05-04 13:28:07,TN01BV6293,0.931,34.1
2026-05-04 13:29:01,TH018V3723,0.859,37.15
2026-05-04 13:29:03,TN01BV3723,0.885,35.78
2026-05-04 13:35:06,TN018V4334,0.793,25.42
2026-05-04 13:35:08,TN01BY4334,0.877,23.41
2026-05-04 13:35:10,TN01BV4334,0.849,25.49
2026-05-04 13:35:17,TH01BV4334,0.869,25.5
2026-05-04 13:36:42,01BV3912,0.952,26.19
2026-05-04 13:36:44,TN01BV3912,0.952,24.08
2026-05-04 13:39:28,TN018Y4399,0.726,92.29
2026-05-04 13:39:30,TN018V4399,0.832,38.46
2026-05-04 13:39:32,TN01BV4399,0.832,24.37
2026-05-04 13:42:11,TN018V3765,0.832,26.2
2026-05-04 13:42:17,TN01BV3765,0.895,28.6
2026-05-04 14:17:41,TH01BV3780,0.877,37.75
2026-05-04 14:17:43,TN01BV3780,0.822,51.12
2026-05-04 14:19:34,TN01BV4396,0.836,25.99
2026-05-04 14:33:53,TN018Y3973,0.838,38.18
